t	soc	u	cost	cumCost
155	0.9144	1.0	1.203	719.21
156	0.95	0.6	0.2846	719.49
157	0.9797	0.5	2.754	722.25
158	0.9534	-0.4	-0.2485	722.0
159	0.9402	-0.2	-0.7303	721.27
160	0.958	0.3	2.7854	724.06
161	0.9186	-0.6	-0.5446	723.51
162	0.9054	-0.2	0.6787	724.19
163	0.8791	-0.4	1.1675	725.36
164	0.8265	-0.8	0.3715	725.73
165	0.7673	-0.9	0.4899	726.22
166	0.7015	-1.0	1.1152	727.33
167	0.6357	-1.0	2.1955	729.53
168	0.5699	-1.0	2.435	731.96
169	0.5041	-1.0	3.2857	735.25
170	0.4383	-1.0	4.2043	739.45
171	0.3725	-1.0	5.3643	744.82
172	0.3067	-1.0	5.5619	750.38
173	0.2409	-1.0	6.6578	757.04
174	0.1751	-1.0	5.1808	762.22
175	0.1094	-1.0	6.1976	768.42
176	0.0436	-1.0	6.6849	775.1
177	0.0041	-0.6	7.9576	783.06
178	0.0041	0.0	9.5541	792.61
179	0.0041	0.0	9.4307	802.04
180	0.0041	0.0	9.1668	811.21
181	0.0041	0.0	9.2768	820.49
182	0.0041	0.0	9.3907	829.88
183	0.0041	0.0	9.468	839.35
184	0.0041	0.0	9.6156	848.96
185	0.0041	0.0	9.521	858.48
186	0.0041	0.0	9.3777	867.86
187	0.0041	0.0	9.2679	877.13
188	0.0041	0.0	9.2798	886.41
189	0.0635	1.0	9.5459	895.95
190	0.1228	1.0	9.4553	905.41
191	0.1822	1.0	9.4618	914.87
192	0.2416	1.0	9.391	924.26
193	0.301	1.0	9.2875	933.55
194	0.3603	1.0	9.4313	942.98
195	0.4197	1.0	9.4102	952.39
196	0.4791	1.0	9.4623	961.85
197	0.5385	1.0	9.3919	971.25
198	0.5978	1.0	9.3144	980.56
199	0.6572	1.0	9.3882	989.95
200	0.7166	1.0	9.4086	999.36
201	0.776	1.0	9.5004	1008.86
202	0.8353	1.0	9.4041	1018.26
203	0.8947	1.0	9.5102	1027.77
204	0.9541	1.0	9.4624	1037.23
205	0.9957	0.7	8.7032	1045.94
206	0.9957	0.0	6.9686	1052.91
207	0.9957	0.0	7.0697	1059.98
208	0.9957	0.0	7.1425	1067.12
209	0.9957	0.0	6.9567	1074.07
210	0.9957	0.0	7.0477	1081.12
211	0.9957	0.0	7.0716	1088.19
212	0.9957	0.0	7.0539	1095.25
213	0.9957	0.0	7.0023	1102.25
214	0.9957	0.0	7.1111	1109.36
215	0.9957	0.0	6.9932	1116.35
216	0.9957	0.0	7.0036	1123.36
217	0.9957	0.0	7.0442	1130.4
218	0.9957	0.0	6.9528	1137.35
219	0.9957	0.0	6.9072	1144.26
220	0.9957	0.0	7.6104	1151.87
221	0.9299	-1.0	6.7151	1158.59
222	0.8641	-1.0	6.5356	1165.12
223	0.7983	-1.0	6.3209	1171.44
224	0.7325	-1.0	6.7946	1178.24
225	0.6667	-1.0	6.7041	1184.94
226	0.6009	-1.0	6.2606	1191.2
227	0.5351	-1.0	5.4188	1196.62
228	0.4693	-1.0	4.2744	1200.9
229	0.4036	-1.0	2.5798	1203.48
230	0.3378	-1.0	1.302	1204.78
231	0.272	-1.0	-0.1212	1204.66
232	0.2128	-0.9	-0.302	1204.35
233	0.1733	-0.6	0.9359	1205.29
234	0.1207	-0.8	-1.1062	1204.18
235	0.1266	0.1	-0.4689	1203.72
236	0.1563	0.5	-0.0979	1203.62
237	0.1919	0.6	-0.31	1203.31
238	0.2394	0.8	-0.2549	1203.05
239	0.2988	1.0	1.2524	1204.31
240	0.3344	0.6	-0.3521	1203.95
241	0.3819	0.8	0.3789	1204.33
242	0.4175	0.6	1.1861	1205.52
243	0.4294	0.2	0.1204	1205.64
244	0.4353	0.1	-1.3531	1204.29
245	0.4947	1.0	-0.8091	1203.48
246	0.5541	1.0	-1.0941	1202.38
247	0.6135	1.0	-0.3841	1202.0
248	0.6728	1.0	-0.8191	1201.18
249	0.7322	1.0	1.2097	1202.39
250	0.7678	0.6	1.4248	1203.81
251	0.7738	0.1	0.2243	1204.04
252	0.7738	0.0	-1.1831	1202.86
253	0.8272	0.9	1.9328	1204.79
254	0.845	0.3	-0.299	1204.49
255	0.8747	0.5	1.3964	1205.89
256	0.8747	0.0	0.7866	1206.67
257	0.855	-0.3	1.5575	1208.23
258	0.8024	-0.8	-0.4389	1207.79
259	0.7695	-0.5	1.3307	1209.12
260	0.7102	-0.9	1.3087	1210.43
261	0.6445	-1.0	2.2042	1212.63
262	0.5787	-1.0	2.9613	1215.6
263	0.5129	-1.0	3.6072	1219.2
264	0.4471	-1.0	3.8536	1223.06
265	0.3813	-1.0	4.4539	1227.51
266	0.3155	-1.0	5.0269	1232.54
267	0.2497	-1.0	6.3544	1238.89
268	0.1839	-1.0	7.3295	1246.22
269	0.1181	-1.0	7.2601	1253.48
270	0.0524	-1.0	5.2987	1258.78
271	0.0063	-0.7	7.1198	1265.9
272	0.0063	0.0	9.3904	1275.29
273	0.0063	0.0	9.755	1285.04
274	0.0063	0.0	9.7538	1294.8
275	0.0063	0.0	9.5722	1304.37
276	0.0063	0.0	9.4541	1313.82
277	0.0063	0.0	9.3906	1323.22
278	0.0063	0.0	9.5313	1332.75
279	0.0063	0.0	9.5477	1342.29
280	0.0063	0.0	9.407	1351.7
281	0.0063	0.0	9.9642	1361.67
282	0.0063	0.0	10.2245	1371.89
283	0.0063	0.0	10.0144	1381.9
284	0.0063	0.0	9.8408	1391.75
285	0.0657	1.0	9.9259	1401.67
286	0.125	1.0	9.99	1411.66
287	0.1844	1.0	9.8414	1421.5
288	0.2438	1.0	9.6986	1431.2
289	0.3032	1.0	9.648	1440.85
290	0.3625	1.0	9.8804	1450.73
291	0.4219	1.0	9.8939	1460.62
292	0.4813	1.0	9.7319	1470.36
293	0.5407	1.0	9.8953	1480.25
294	0.6	1.0	9.5986	1489.85
295	0.6594	1.0	9.6327	1499.48
296	0.7188	1.0	9.4461	1508.93
297	0.7782	1.0	9.6372	1518.57
298	0.8375	1.0	9.5177	1528.08
299	0.8969	1.0	9.6274	1537.71
300	0.9563	1.0	9.5733	1547.28
301	0.9979	0.7	8.7688	1556.05
302	0.9979	0.0	6.9619	1563.01
303	0.9979	0.0	7.0489	1570.06
304	0.9979	0.0	6.8573	1576.92
305	0.9979	0.0	7.0024	1583.92
306	0.9979	0.0	7.0972	1591.02
307	0.9979	0.0	7.0337	1598.05
308	0.9979	0.0	7.0288	1605.08
309	0.9979	0.0	7.0265	1612.11
310	0.9979	0.0	7.2154	1619.32
311	0.9979	0.0	7.1008	1626.43
312	0.9979	0.0	7.1125	1633.54
313	0.9979	0.0	7.0984	1640.64
314	0.9979	0.0	6.9798	1647.62
315	0.9979	0.0	6.9746	1654.59
316	0.9979	0.0	7.6698	1662.26
317	0.9321	-1.0	7.1963	1669.46
318	0.8663	-1.0	7.44	1676.9
319	0.8005	-1.0	8.4004	1685.3
320	0.7347	-1.0	8.2096	1693.51
321	0.6689	-1.0	8.1753	1701.68
322	0.6031	-1.0	7.5222	1709.2
323	0.5373	-1.0	6.5609	1715.77
324	0.4715	-1.0	5.4816	1721.25
325	0.4058	-1.0	4.6628	1725.91
326	0.34	-1.0	3.47	1729.38
327	0.2742	-1.0	2.7578	1732.14
328	0.2084	-1.0	2.0733	1734.21
329	0.1426	-1.0	0.7506	1734.96
330	0.0768	-1.0	0.2529	1735.21
331	0.011	-1.0	-0.212	1735.0
332	0.0044	-0.1	1.807	1736.81
333	0.0044	0.0	1.5563	1738.37
334	0.0044	0.0	1.2375	1739.6
335	0.0044	0.0	0.4137	1740.02
336	0.0044	0.0	0.5802	1740.6
337	0.0044	0.0	0.5059	1741.1
338	0.0044	0.0	0.0363	1741.14
339	0.0044	0.0	-0.2534	1740.89
340	0.0163	0.2	0.0646	1740.95
341	0.0223	0.1	2.3578	1743.31
342	0.0025	-0.3	-1.0737	1742.23
343	0.0322	0.5	0.3842	1742.62
344	0.05	0.3	0.9414	1743.56
345	0.05	0.0	-0.2857	1743.27
346	0.0619	0.2	0.7966	1744.07
347	0.0553	-0.1	0.3778	1744.45
348	0.0422	-0.2	-0.1772	1744.27
349	0.0356	-0.1	3.8978	1748.17
350	0.0027	-0.5	-0.2364	1747.93
351	0.0027	0.0	1.4738	1749.41
352	0.0027	0.0	4.6328	1754.04
353	0.0027	0.0	3.8155	1757.86
354	0.0027	0.0	3.299	1761.15
355	0.0027	0.0	4.4773	1765.63
356	0.0027	0.0	4.7363	1770.37
357	0.0027	0.0	5.8113	1776.18
358	0.0027	0.0	7.0802	1783.26
359	0.0027	0.0	7.2066	1790.47
360	0.0027	0.0	6.4923	1796.96
361	0.0027	0.0	8.4649	1805.42
362	0.0027	0.0	9.5779	1815.0
363	0.0027	0.0	9.5588	1824.56
364	0.0027	0.0	10.2664	1834.83
365	0.0027	0.0	10.5242	1845.35
366	0.0027	0.0	8.3843	1853.73
367	0.0027	0.0	8.9534	1862.69
368	0.0027	0.0	9.1221	1871.81
369	0.0027	0.0	9.2089	1881.02
370	0.0027	0.0	9.2954	1890.31
371	0.0027	0.0	9.429	1899.74
372	0.0027	0.0	9.7193	1909.46
373	0.0027	0.0	9.4095	1918.87
374	0.0027	0.0	9.3493	1928.22
375	0.0027	0.0	9.2455	1937.47
376	0.0027	0.0	9.4936	1946.96
377	0.0027	0.0	9.466	1956.43
378	0.0027	0.0	9.6414	1966.07
379	0.0027	0.0	9.4683	1975.54
380	0.0027	0.0	8.935	1984.47
381	0.0621	1.0	9.3091	1993.78
382	0.1214	1.0	9.3178	2003.1
383	0.1808	1.0	9.3395	2012.44
384	0.2402	1.0	9.3313	2021.77
385	0.2996	1.0	9.3367	2031.11
386	0.3589	1.0	9.5494	2040.66
387	0.4183	1.0	9.4914	2050.15
388	0.4777	1.0	9.3527	2059.5
389	0.5371	1.0	9.4794	2068.98
390	0.5964	1.0	9.4233	2078.4
391	0.6558	1.0	9.4069	2087.81
392	0.7152	1.0	9.4726	2097.28
393	0.7746	1.0	9.4754	2106.76
394	0.8339	1.0	9.5206	2116.28
395	0.8933	1.0	9.4584	2125.74
396	0.9527	1.0	9.471	2135.21
397	0.9942	0.7	8.7343	2143.94
398	0.9942	0.0	6.8864	2150.83
399	0.9942	0.0	7.0936	2157.92
400	0.9942	0.0	7.0303	2164.95
401	0.9942	0.0	6.9765	2171.93
402	0.9942	0.0	7.0342	2178.96
403	0.9942	0.0	7.0096	2185.97
404	0.9942	0.0	7.1053	2193.08
405	0.9942	0.0	7.0185	2200.1
406	0.9942	0.0	7.1385	2207.23
407	0.9942	0.0	6.9936	2214.23
408	0.9942	0.0	6.8429	2221.07
409	0.9942	0.0	7.0866	2228.16
410	0.9942	0.0	7.0593	2235.22
411	0.9942	0.0	7.1074	2242.32
412	0.9942	0.0	7.8719	2250.2
413	0.9285	-1.0	7.3136	2257.51
414	0.8627	-1.0	7.3828	2264.89
415	0.7969	-1.0	8.7053	2273.6
416	0.7311	-1.0	9.514	2283.11
417	0.6653	-1.0	9.873	2292.98
418	0.5995	-1.0	9.8194	2302.8
419	0.5337	-1.0	9.685	2312.49
420	0.4679	-1.0	4.4694	2316.96
421	0.4021	-1.0	1.685	2318.64
422	0.3363	-1.0	-0.4449	2318.2
423	0.2969	-0.6	5.1146	2323.31
424	0.2311	-1.0	0.5699	2323.88
425	0.1653	-1.0	-0.0645	2323.82
426	0.1061	-0.9	-1.5242	2322.29
427	0.1239	0.3	4.0192	2326.31
428	0.0647	-0.9	3.1538	2329.47
429	0.0055	-0.9	4.4044	2333.87
430	0.0055	0.0	5.8962	2339.77
431	0.0055	0.0	2.5491	2342.32
432	0.0055	0.0	-1.0448	2341.27
433	0.053	0.8	1.5868	2342.86
434	0.0708	0.3	-1.5553	2341.3
435	0.1302	1.0	-0.5748	2340.73
436	0.1895	1.0	-0.8168	2339.91
437	0.2489	1.0	-0.8685	2339.04
438	0.3083	1.0	2.3693	2341.41
439	0.3202	0.2	-1.7633	2339.65
440	0.3795	1.0	-0.6331	2339.02
441	0.4389	1.0	-0.8468	2338.17
442	0.4983	1.0	-1.1493	2337.02
443	0.5577	1.0	-0.5957	2336.42
444	0.617	1.0	12.8837	2349.31
445	0.5512	-1.0	9.6687	2358.98
446	0.4855	-1.0	9.5462	2368.52
447	0.4197	-1.0	10.3246	2378.85
448	0.3539	-1.0	10.3415	2389.19
449	0.2881	-1.0	9.425	2398.61
450	0.2223	-1.0	8.4948	2407.11
451	0.1565	-1.0	7.6038	2414.71
452	0.0907	-1.0	7.3158	2422.03
453	0.0249	-1.0	6.8401	2428.87
454	0.0052	-0.3	8.1268	2437.0
455	0.0052	0.0	9.9645	2446.96
456	0.0052	0.0	9.1943	2456.15
457	0.0052	0.0	8.6094	2464.76
458	0.0052	0.0	9.1727	2473.94
459	0.0052	0.0	9.4513	2483.39
460	0.0052	0.0	10.4195	2493.81
461	0.0052	0.0	10.3106	2504.12
462	0.0052	0.0	8.0865	2512.2
463	0.0052	0.0	8.7851	2520.99
464	0.0052	0.0	9.0818	2530.07
465	0.0052	0.0	9.0407	2539.11
466	0.0052	0.0	9.4684	2548.58
467	0.0052	0.0	9.2826	2557.86
468	0.0052	0.0	9.3091	2567.17
469	0.0052	0.0	9.2722	2576.44
470	0.0052	0.0	9.3686	2585.81
471	0.0052	0.0	9.1518	2594.96
472	0.0052	0.0	9.1033	2604.07
473	0.0052	0.0	9.0107	2613.08
474	0.0052	0.0	9.3123	2622.39
475	0.0052	0.0	9.0968	2631.49
476	0.0052	0.0	9.1344	2640.62
477	0.0646	1.0	9.4501	2650.07
478	0.1239	1.0	9.4001	2659.47
479	0.1833	1.0	9.4303	2668.9
480	0.2427	1.0	9.3004	2678.2
481	0.3021	1.0	9.4162	2687.62
482	0.3614	1.0	9.4707	2697.09
483	0.4208	1.0	9.3638	2706.45
484	0.4802	1.0	9.3425	2715.8
485	0.5396	1.0	9.3811	2725.18
486	0.5989	1.0	9.2994	2734.48
487	0.6583	1.0	9.4063	2743.88
488	0.7177	1.0	9.3692	2753.25
489	0.7771	1.0	9.4096	2762.66
490	0.8364	1.0	9.3959	2772.06
491	0.8958	1.0	9.3424	2781.4
492	0.9552	1.0	9.322	2790.72
493	0.9968	0.7	8.7486	2799.47
494	0.9968	0.0	7.1248	2806.6
495	0.9968	0.0	7.0453	2813.64
496	0.9968	0.0	6.9986	2820.64
497	0.9968	0.0	7.0119	2827.65
498	0.9968	0.0	7.0049	2834.66
499	0.9968	0.0	7.1488	2841.81
500	0.9968	0.0	6.8356	2848.64
501	0.9968	0.0	7.092	2855.73
502	0.9968	0.0	7.0678	2862.8
503	0.9968	0.0	6.9842	2869.78
504	0.9968	0.0	7.1696	2876.95
505	0.9968	0.0	7.0142	2883.97
506	0.9968	0.0	7.1554	2891.12
507	0.9968	0.0	7.0161	2898.14
508	0.9968	0.0	6.7349	2904.88
509	0.931	-1.0	5.4054	2910.28
510	0.8652	-1.0	4.8175	2915.1
511	0.7994	-1.0	4.2368	2919.33
512	0.7336	-1.0	3.3251	2922.66
513	0.6678	-1.0	2.1705	2924.83
514	0.602	-1.0	1.1596	2925.99
515	0.5362	-1.0	0.0047	2925.99
516	0.4704	-1.0	-0.3712	2925.62
517	0.4244	-0.7	-0.4241	2925.2
518	0.4047	-0.3	-0.4156	2924.78
519	0.4047	0.0	-0.2077	2924.58
520	0.4165	0.2	-0.4039	2924.17
521	0.4462	0.5	-0.2722	2923.9
522	0.4878	0.7	-0.3835	2923.52
523	0.5472	1.0	-0.2855	2923.23
524	0.6065	1.0	-0.5322	2922.7
525	0.6659	1.0	-0.7296	2921.97
526	0.7253	1.0	-0.9698	2921.0
527	0.7847	1.0	-1.1583	2919.84
528	0.844	1.0	-1.2888	2918.55
529	0.9034	1.0	-1.3929	2917.16
530	0.9568	0.9	-1.5752	2915.58
531	0.9984	0.7	-1.9612	2913.62
532	0.9984	0.0	-2.9279	2910.69
533	0.9984	0.0	-3.2188	2907.48
534	0.9984	0.0	-3.1502	2904.33
535	0.9984	0.0	-3.2745	2901.05
536	0.9984	0.0	-2.8139	2898.24
537	0.9984	0.0	-3.1553	2895.08
538	0.9984	0.0	-3.0366	2892.05
539	0.9984	0.0	-2.7478	2889.3
540	0.9984	0.0	-0.3778	2888.92
541	0.9984	0.0	-1.3454	2887.57
542	0.9984	0.0	-2.4776	2885.1
543	0.9984	0.0	2.6618	2887.76
544	0.9458	-0.8	-0.2644	2887.49
545	0.9063	-0.6	-1.6794	2885.81
546	0.9419	0.6	2.8057	2888.62
547	0.9222	-0.3	-0.56	2888.06
548	0.9281	0.1	-0.5455	2887.51
549	0.9578	0.5	0.6627	2888.18
550	0.9756	0.3	1.186	2889.36
551	0.969	-0.1	0.5889	2889.95
552	0.9493	-0.3	1.675	2891.63
553	0.8967	-0.8	1.2903	2892.92
554	0.8309	-1.0	1.6164	2894.53
555	0.7651	-1.0	2.3059	2896.84
556	0.6993	-1.0	3.9304	2900.77
557	0.6335	-1.0	5.3041	2906.07
558	0.5677	-1.0	5.192	2911.27
559	0.5019	-1.0	5.4736	2916.74
560	0.4362	-1.0	5.547	2922.29
561	0.3704	-1.0	5.7416	2928.03
562	0.3046	-1.0	5.8276	2933.86
563	0.2388	-1.0	6.0013	2939.86
564	0.173	-1.0	5.8941	2945.75
565	0.1072	-1.0	5.9045	2951.66
566	0.0414	-1.0	5.9724	2957.63
567	0.0019	-0.6	7.1343	2964.76
568	0.0019	0.0	9.1261	2973.89
569	0.0019	0.0	9.1548	2983.04
570	0.0019	0.0	9.0982	2992.14
571	0.0019	0.0	9.0844	3001.23
572	0.0019	0.0	9.112	3010.34
573	0.0613	1.0	9.434	3019.77
574	0.1207	1.0	9.4545	3029.23
575	0.1801	1.0	9.3757	3038.6
576	0.2394	1.0	9.4382	3048.04
577	0.2988	1.0	9.4901	3057.53
578	0.3582	1.0	9.3911	3066.92
579	0.4176	1.0	9.4312	3076.35
580	0.4769	1.0	9.457	3085.81
581	0.5363	1.0	9.4376	3095.25
582	0.5957	1.0	9.3358	3104.58
583	0.6551	1.0	9.4733	3114.06
584	0.7144	1.0	9.3638	3123.42
585	0.7738	1.0	9.4289	3132.85
586	0.8332	1.0	9.3758	3142.23
587	0.8926	1.0	9.3552	3151.58
588	0.9519	1.0	9.6278	3161.21
589	0.9994	0.8	9.016	3170.22
590	0.9994	0.0	7.0219	3177.25
591	0.9994	0.0	7.035	3184.28
592	0.9994	0.0	7.1601	3191.44
593	0.9994	0.0	7.078	3198.52
594	0.9994	0.0	7.1649	3205.68
595	0.9994	0.0	7.0681	3212.75
596	0.9994	0.0	7.0711	3219.82
597	0.9994	0.0	7.1111	3226.93
598	0.9994	0.0	7.1078	3234.04
599	0.9994	0.0	7.0314	3241.07
600	0.9994	0.0	7.0182	3248.09
601	0.9994	0.0	7.1188	3255.21
602	0.9994	0.0	7.0058	3262.22
603	0.9994	0.0	7.0292	3269.25
604	0.9994	0.0	6.6879	3275.93
605	0.9337	-1.0	5.348	3281.28
606	0.8679	-1.0	4.8713	3286.15
607	0.8021	-1.0	4.2621	3290.42
608	0.7363	-1.0	3.1235	3293.54
609	0.6705	-1.0	2.654	3296.19
610	0.6047	-1.0	3.3164	3299.51
611	0.5389	-1.0	0.5223	3300.03
612	0.4731	-1.0	-0.3599	3299.67
613	0.4271	-0.7	-0.337	3299.33
614	0.4008	-0.4	-0.3667	3298.97
615	0.3942	-0.1	-0.3789	3298.59
616	0.4061	0.2	-0.1938	3298.4
617	0.4298	0.4	-0.3473	3298.05
618	0.4714	0.7	-0.3068	3297.74
619	0.5307	1.0	-0.1271	3297.61
620	0.5901	1.0	-0.5841	3297.03
621	0.6495	1.0	-0.5253	3296.5
622	0.7089	1.0	-0.816	3295.69
623	0.7682	1.0	-1.4176	3294.27
624	0.8276	1.0	-1.8309	3292.44
625	0.887	1.0	-0.6291	3291.81
626	0.9464	1.0	4.9126	3296.72
627	0.9069	-0.6	-4.177	3292.55
628	0.9663	1.0	-0.7077	3291.84
629	0.996	0.5	-1.6278	3290.21
630	0.996	0.0	-3.4754	3286.74
631	0.996	0.0	-3.011	3283.72
632	0.996	0.0	-3.07	3280.65
633	0.996	0.0	-0.7957	3279.86
634	0.996	0.0	-1.309	3278.55
635	0.996	0.0	-1.9354	3276.61
636	0.996	0.0	-2.0506	3274.56
637	0.996	0.0	-0.0734	3274.49
638	0.996	0.0	2.8803	3277.37
639	0.9367	-0.9	-1.5051	3275.87
640	0.9486	0.2	-1.0814	3274.78
641	0.9961	0.8	1.0723	3275.86
642	0.9961	0.0	3.607	3279.46
643	0.9303	-1.0	3.4347	3282.9
644	0.8645	-1.0	3.3444	3286.24
645	0.7987	-1.0	3.6974	3289.94
646	0.733	-1.0	3.3215	3293.26
647	0.6672	-1.0	2.8241	3296.09
648	0.6014	-1.0	1.628	3297.71
649	0.5356	-1.0	2.717	3300.43
650	0.4698	-1.0	2.2822	3302.71
651	0.404	-1.0	4.2214	3306.93
652	0.3382	-1.0	4.7489	3311.68
653	0.2724	-1.0	5.1791	3316.86
654	0.2066	-1.0	5.6463	3322.51
655	0.1409	-1.0	5.6145	3328.12
656	0.0751	-1.0	6.0304	3334.15
657	0.0093	-1.0	5.8189	3339.97
658	0.0027	-0.1	8.6148	3348.59
659	0.0027	0.0	9.159	3357.75
660	0.0027	0.0	9.2194	3366.97
661	0.0027	0.0	9.028	3375.99
662	0.0027	0.0	9.1074	3385.1
663	0.0027	0.0	9.0627	3394.16
