site	path	bytes	sha256	horizon	soc_points	z_points	alpha_length	beta_length	z_min	z_max
20	results_sdp/sweep_wdwe2_k20/value_functions/20.jld2	1201185	1e9b0025892e15e5cf26855f9d2c2c6efcefe0682349a67f65f063b2f2abede5	673	11	20	672	672	-602.8237483734133	608.2866741072844
21	results_sdp/sweep_wdwe2_k20/value_functions/21.jld2	1201185	82571bcc065c29ee0db59e25a5a10ba886536a172d320d6613df7cea0c8dcc06	673	11	20	672	672	-438.05664924442465	566.1769435231688
22	results_sdp/sweep_wdwe2_k20/value_functions/22.jld2	1201185	04db830d46d9398c2537ec00d3d9ca470c909e84c0fb409ff624260d3c4e60bd	673	11	20	672	672	-696.4178726785062	658.5210384899829
23	results_sdp/sweep_wdwe2_k20/value_functions/23.jld2	1201185	9c3525cda6c8fb2a9fefc3dc68f373bea0bb8772f185b8caade61a957f045408	673	11	20	672	672	-555.1783440561278	689.921871723528
24	results_sdp/sweep_wdwe2_k20/value_functions/24.jld2	1201185	e6e0613e3471e6a773aff45d7fd858b19e7208d6acca3f06e1c07b1513bd7c98	673	11	20	672	672	-633.8781988278281	617.1526309015583
25	results_sdp/sweep_wdwe2_k20/value_functions/25.jld2	1201185	ee01e68e40cefaa7f7d161fa6ebdbf5c87c3ae61b29cc6946e147a475b64c1c4	673	11	20	672	672	-1218.8673365420825	1088.5712022021291
26	results_sdp/sweep_wdwe2_k20/value_functions/26.jld2	1201185	bd5794e6325eaf79d0472ae790e7a3a26fc6ae80b40f7e21a5a93a2b19e4b225	673	11	20	672	672	-820.1128857778722	750.4161627197402
27	results_sdp/sweep_wdwe2_k20/value_functions/27.jld2	1201185	ab94193efe794d70df328306ab78818fd7c55386d0ac933fd84f39abc0cd28b6	673	11	20	672	672	-1225.7008178213937	1086.486328908591
28	results_sdp/sweep_wdwe2_k20/value_functions/28.jld2	1201185	a2de2b99c7cd3b5f94c7efba91cab961a30ee3f0e5ad8f36d2c92997539c53f2	673	11	20	672	672	-7363.539745500727	5988.827001016641
29	results_sdp/sweep_wdwe2_k20/value_functions/29.jld2	1201185	c28e7fe8dff4bafc49a834fda7b7555b1969108c6df939c0c8ac3e3acfcfc7b6	673	11	20	672	672	-1187.9136664380655	1294.7695767804844
30	results_sdp/sweep_wdwe2_k20/value_functions/30.jld2	1201185	5ec516594e227e24294ca02e1b8e4fcc2ff43855ef57e7ab7850772afc7a9105	673	11	20	672	672	-871.9455810809902	985.9952149580566
31	results_sdp/sweep_wdwe2_k20/value_functions/31.jld2	1201185	8cecbcfc90cbd065fcbd00e4e14be6712f76167a78d3c653e0f7426f954b3262	673	11	20	672	672	-1204.3333917126392	1174.301421219415
32	results_sdp/sweep_wdwe2_k20/value_functions/32.jld2	1201185	0a0c8c024fe9b53e43c0b7bd9b85d2ca846fc676af7b08949a5f40f375a57719	673	11	20	672	672	-224.099596626645	318.6646740345071
33	results_sdp/sweep_wdwe2_k20/value_functions/33.jld2	1201185	0054b576da553f645e223fd0270c669d90e50ab02950ffbe785c0006e1f9fa02	673	11	20	672	672	-121.73569127625478	294.7035731930207
34	results_sdp/sweep_wdwe2_k20/value_functions/34.jld2	1201185	6d55e2294335d5563aed67df76b9731cda6f1be48d24616d778798bd33b3171e	673	11	20	672	672	-1614.4088882312194	1444.4426640997867
35	results_sdp/sweep_wdwe2_k20/value_functions/35.jld2	1201185	4175f4a14da3a47c7328098221d1f479dbeb3f55095b367b8f44fdd5af05e489	673	11	20	672	672	-597.2423707582207	645.0122187664351
36	results_sdp/sweep_wdwe2_k20/value_functions/36.jld2	1201185	4b9c093c0150093efbc0d8a9f3fbde86f5ba4b08ec63d24a452ff987d05dd42d	673	11	20	672	672	-1676.5482758742248	1611.6738691317757
37	results_sdp/sweep_wdwe2_k20/value_functions/37.jld2	1201185	520877fc9a381bf6020f6de83f138cecc427789da5f4d972a7e809db211a3c38	673	11	20	672	672	-323.27071975480084	427.15631380098836
38	results_sdp/sweep_wdwe2_k20/value_functions/38.jld2	1201185	953d66d9bf8d44dacca54da0a22efc28cd209acd9b1d68f367e9d5f45cee010c	673	11	20	672	672	-882.6074725660326	797.4753271166538
39	results_sdp/sweep_wdwe2_k20/value_functions/39.jld2	1201185	2d943a2d688b9698e4c4b7529b58cb34ecfb1404e5e824c02f506814855bee55	673	11	20	672	672	-605.6955755843203	631.4054301072877
40	results_sdp/sweep_wdwe2_k20/value_functions/40.jld2	1201185	5a5639742d4f5ed45682a8c6d3bfb6854ad711959bd0f59293006448883dad3a	673	11	20	672	672	-576.6862688686958	660.6425605933398
41	results_sdp/sweep_wdwe2_k20/value_functions/41.jld2	1201185	823639a5549f9e371c7aaa096ed01c923c3b4b001ba71c99792fa2cc1897153c	673	11	20	672	672	-542.9294114693967	607.7918042344495
42	results_sdp/sweep_wdwe2_k20/value_functions/42.jld2	1201185	4c015fb70e944daef7d4a79dcf424e3a3a5ef2f7792e0a37b53bbbfe444eea3e	673	11	20	672	672	-401.668289829567	493.579700156154
43	results_sdp/sweep_wdwe2_k20/value_functions/43.jld2	1201185	ab6dffe64c2c8456d27fa99140f6073fde4cf1252b86dd6f4c7b59e9d7493312	673	11	20	672	672	-499.5930560905781	569.5292246986153
44	results_sdp/sweep_wdwe2_k20/value_functions/44.jld2	1201185	5962b577fb455e0d5fd195ebc46fdd81b8cbb3103a554f49c2655ac829fd9709	673	11	20	672	672	-942.15404138076	843.8439851546025
45	results_sdp/sweep_wdwe2_k20/value_functions/45.jld2	1201185	d2cf903effa6907c3cde3c9faa4865032d8844bee32cffc35e261d9029970343	673	11	20	672	672	-1619.2181398836321	1453.0427567842917
46	results_sdp/sweep_wdwe2_k20/value_functions/46.jld2	1201185	9b4e49ea6878a82b2f4ae752871a1e5e4efd348de84aa162a36ddb4857988b91	673	11	20	672	672	-410.85070158496796	540.9583940261074
47	results_sdp/sweep_wdwe2_k20/value_functions/47.jld2	1201185	05fe55c5f0c1894a5432e3659b615d4009228f031a244fcd91d5d3a6f2d75953	673	11	20	672	672	-461.2650092461033	431.1291544984309
48	results_sdp/sweep_wdwe2_k20/value_functions/48.jld2	1201185	492869cf199733dede7efba27dc69f25481d2604fa9ec44199892a55136c857e	673	11	20	672	672	-1640.856088614795	1441.7661397704019
49	results_sdp/sweep_wdwe2_k20/value_functions/49.jld2	1201185	39c5d2370c4ab7f55033775352388e2029c7ab82b31939d2dd40c251322feec2	673	11	20	672	672	-1560.7833042052093	1738.1188558132903
50	results_sdp/sweep_wdwe2_k20/value_functions/50.jld2	1201185	91d692eb7bb2a07e23032383b88f39e755ec784907662dcc8a5067108799a0a7	673	11	20	672	672	-462.56320337659236	554.9048080387416
51	results_sdp/sweep_wdwe2_k20/value_functions/51.jld2	1201185	19060dc1a5918437fe4b90b2df187f58c56bb1a580798afd71ada32690021ba1	673	11	20	672	672	-1231.1112493831206	999.7362892499686
52	results_sdp/sweep_wdwe2_k20/value_functions/52.jld2	1201185	d076c8a71423ac0135fd940cd9057618e229dba5521ce3823a70092d34a7f57e	673	11	20	672	672	-382.59929397065247	478.8320942487824
53	results_sdp/sweep_wdwe2_k20/value_functions/53.jld2	1201185	3d0f775fa27f74ada264b374e145c3eb5990865e3b2c2cb302c8eb07c12f04d2	673	11	20	672	672	-441.19909681871604	518.9105703494796
54	results_sdp/sweep_wdwe2_k20/value_functions/54.jld2	1201185	55b2118f277f0a02f8c068b15493447f8072491b5ea2265221e139a1e0914643	673	11	20	672	672	-645.7938059442084	623.3558270448949
55	results_sdp/sweep_wdwe2_k20/value_functions/55.jld2	1201185	7cec53b978a4e7e67af8c11683311291f564f177816eff6d036131b72549513a	673	11	20	672	672	-957.6491580310925	853.9356627662829
56	results_sdp/sweep_wdwe2_k20/value_functions/56.jld2	1201185	8a74366e723aa5095b0567d02c208eaddaa315d7afbc1d0f39a0f13021d2b729	673	11	20	672	672	-363.29396471561415	398.1009318989601
57	results_sdp/sweep_wdwe2_k20/value_functions/57.jld2	1201185	f9009d0cf92890736ae52013dce5bfa81e849b5761049aaef456e1bb7835c1e9	673	11	20	672	672	-384.8658694158649	450.3332153977191
58	results_sdp/sweep_wdwe2_k20/value_functions/58.jld2	1201185	5a295396774fc8acc80b859de7e11e69ba6436643f7367a2faaee2f095833bfa	673	11	20	672	672	-429.9072469980384	420.60181423976866
59	results_sdp/sweep_wdwe2_k20/value_functions/59.jld2	1201185	9f6016a3197af8de9add20bab23a19155f697ac7689b5e112b01df9df092ef10	673	11	20	672	672	-179.47844538095663	333.3639213634277
60	results_sdp/sweep_wdwe2_k20/value_functions/60.jld2	1201185	98d089318c6b2c15bd6f693dbdb876a07d85bc7ffa9ed5a176a8b78999d6cf7d	673	11	20	672	672	-603.3719061964102	625.7405489951143
61	results_sdp/sweep_wdwe2_k20/value_functions/61.jld2	1201185	5e839d015df7c12559788e9591c3fc32005fbe7f706917cf0108acf3c7fa1743	673	11	20	672	672	-474.23925363464593	579.917104608861
62	results_sdp/sweep_wdwe2_k20/value_functions/62.jld2	1201185	133a9d80c24ca3ed511aedc2655538ce0da0e3ca8cb8b4db344aebbb4f48f709	673	11	20	672	672	-65204.5434655516	22373.22635972463
63	results_sdp/sweep_wdwe2_k20/value_functions/63.jld2	1201185	48f4797d5819194e27ebe443e4245579e6ae4b3502ceeefbbb497823017ea493	673	11	20	672	672	-1665.5661104451524	1468.812419435007
64	results_sdp/sweep_wdwe2_k20/value_functions/64.jld2	1201185	ab7c76f28caa236631c24aa392ba476a595e5b5ddacd65a8cd0315fdd5e4ab1c	673	11	20	672	672	-1141.9193445449325	1113.220757861026
65	results_sdp/sweep_wdwe2_k20/value_functions/65.jld2	1201185	73bba7a99ab125b2340f34d4bc82e0d607e24e2a80fe006aece1e8264815aec1	673	11	20	672	672	-1645.3448797392848	1390.8554656889141
66	results_sdp/sweep_wdwe2_k20/value_functions/66.jld2	1201185	0f3da9235bca8f0efa6a9ec076c5ab0b974a7ba8f240383093b8b481487f6716	673	11	20	672	672	-1452.4506853247904	1211.2626905526108
67	results_sdp/sweep_wdwe2_k20/value_functions/67.jld2	1201185	235b00016849a1ecdbdb825f0ea26e9e9e84ff5461220f9c28305482b3806a0a	673	11	20	672	672	-932.5362220776126	984.1834355971735
68	results_sdp/sweep_wdwe2_k20/value_functions/68.jld2	1201185	1b14594154267b2fb5ef4ff3683679fc5bbf4d507a6606cc4580c03168a8bde5	673	11	20	672	672	-597.4383406984246	563.2612634725625
69	results_sdp/sweep_wdwe2_k20/value_functions/69.jld2	1201185	5ce9aa338e73f209a8d0a72795dd3d928a5a2442cbc4abc94cda063ed76e77a6	673	11	20	672	672	-731.5862799127883	791.0994923682922
70	results_sdp/sweep_wdwe2_k20/value_functions/70.jld2	1201185	b5497a942eb196af552e1555b6b76daa04cff623cab8a2b67f5f654537358c5b	673	11	20	672	672	-2462.7913409303883	2152.2911974320023
