t	load	pv	z_settle	EXPLOIT	R_P	R_FE96	S_AR
106	51.42	0.0	54.6	-1.0	1.0	1.0	1.0
107	51.77	0.0	54.62	-1.0	1.0	1.0	1.0
108	51.92	0.0	53.44	-1.0	1.0	1.0	1.0
109	51.9	0.0	54.22	-1.0	0.7	0.7	0.8
110	51.84	0.0	53.65	-1.0	0.0	0.0	0.0
111	51.81	0.0	54.81	-1.0	0.0	0.0	0.0
112	52.69	0.0	54.32	-1.0	0.0	0.0	0.0
113	51.12	0.0	53.9	-1.0	0.0	0.0	0.0
114	52.03	0.0	53.68	-1.0	0.0	0.0	0.0
115	52.55	0.0	54.13	-1.0	0.0	0.0	0.0
116	51.61	0.0	54.93	-1.0	0.0	0.0	0.0
117	51.67	0.0	53.45	-1.0	0.0	0.0	0.0
118	51.7	0.0	53.9	-1.0	0.0	0.0	0.0
119	52.95	0.0	53.41	-1.0	0.0	0.0	0.0
120	51.37	0.0	53.14	-1.0	0.0	0.0	0.0
121	50.82	0.0	54.09	-1.0	0.0	0.0	0.0
122	52.34	0.0	54.84	-1.0	0.0	0.0	0.0
123	52.56	0.0	53.97	-1.0	0.0	0.0	0.0
124	52.67	0.43	61.09	-1.0	0.0	0.0	0.0
125	60.13	2.02	64.59	-1.0	-1.0	0.0	-1.0
126	64.67	4.65	66.44	-1.0	-1.0	0.0	-1.0
127	73.93	8.74	63.74	-1.0	-1.0	0.0	-1.0
128	75.9	14.63	63.69	-1.0	-1.0	-0.6	-1.0
129	78.0	21.55	59.92	-1.0	-1.0	-0.7	-1.0
130	81.47	29.22	55.86	-1.0	-1.0	-0.2	-1.0
131	84.71	37.35	49.84	-1.0	-1.0	0.0	-1.0
132	85.41	45.69	42.3	-1.0	-1.0	0.0	-1.0
133	86.68	53.58	34.02	-1.0	-1.0	0.0	0.0
134	88.64	61.5	24.97	-1.0	-1.0	0.0	-1.0
135	90.47	69.72	18.0	-1.0	-1.0	0.0	-1.0
136	88.92	76.59	12.6	-1.0	-0.9	0.0	-1.0
137	89.05	83.36	6.08	-1.0	-0.6	0.0	-0.6
138	89.24	88.91	-0.54	-1.0	-0.3	0.0	-1.0
139	91.18	94.31	-2.9	-1.0	0.1	0.0	-0.3
140	90.18	99.71	-9.8	-1.0	0.2	0.0	-0.5
141	87.01	104.07	-8.13	-1.0	0.5	0.0	0.2
142	87.94	107.82	-13.0	-1.0	0.4	-0.3	-0.4
143	89.36	111.37	-18.47	-1.0	0.7	-0.5	0.1
144	87.86	114.16	-16.96	-1.0	0.9	-1.0	-0.3
145	88.47	117.12	-23.32	-1.0	0.9	-1.0	0.2
146	87.54	118.57	-26.75	-1.0	1.0	-1.0	0.1
147	88.15	120.13	-22.57	-1.0	1.0	-1.0	1.0
148	88.24	120.89	-24.84	-1.0	1.0	-1.0	0.9
149	89.31	122.86	-22.69	-1.0	1.0	-1.0	1.0
150	88.04	123.56	-28.45	-1.0	1.0	-1.0	1.0
151	89.79	111.37	-26.74	-1.0	1.0	-1.0	1.0
152	87.86	126.57	-14.98	-1.0	1.0	-0.6	1.0
153	88.95	126.37	-7.04	-1.0	0.8	-0.3	0.8
154	89.94	123.98	-19.15	-1.0	0.3	-0.5	0.2
155	89.52	123.54	-11.67	-1.0	1.0	0.0	0.9
156	89.78	114.2	-9.58	-1.0	0.6	0.0	0.5
157	90.34	118.05	6.83	-1.0	0.5	0.0	0.4
158	90.19	114.55	3.95	-1.0	-0.4	0.0	-0.2
159	90.83	109.75	-6.68	-1.0	-0.2	0.0	0.0
160	91.74	105.01	10.76	-1.0	0.3	-0.3	0.3
161	92.89	100.08	3.47	-1.0	-0.6	-0.1	-0.3
162	91.96	96.95	7.74	-1.0	-0.2	-0.2	-0.1
163	91.67	92.68	14.37	-1.0	-0.4	-0.2	-0.1
164	91.23	88.92	17.19	-1.0	-0.8	-1.0	-0.4
165	91.14	82.31	19.76	-1.0	-0.9	-0.6	-0.5
166	89.72	74.43	25.31	-1.0	-1.0	-0.5	-0.7
167	91.32	66.9	31.66	-1.0	-1.0	-0.5	-0.7
168	84.21	61.33	33.07	-1.0	-1.0	0.0	-1.0
169	77.14	55.68	38.08	-1.0	-1.0	0.0	-1.0
170	73.26	46.71	43.48	-1.0	-1.0	0.0	-1.0
171	71.39	37.62	50.3	-1.0	-1.0	0.0	-1.0
172	71.46	28.36	51.47	-1.0	-1.0	0.0	-1.0
173	69.33	19.05	57.91	-1.0	-1.0	0.0	-1.0
174	69.46	12.88	49.23	-1.0	-1.0	0.0	-0.7
175	56.57	8.36	55.21	-1.0	-1.0	0.0	0.0
176	56.04	4.48	58.07	-1.0	-1.0	0.0	0.0
177	56.5	2.04	58.06	-1.0	-0.6	0.0	0.0
178	55.23	0.8	56.2	-1.0	0.0	0.0	0.0
179	56.92	0.1	55.47	-1.0	0.0	0.0	0.0
180	56.12	0.0	53.92	-1.0	0.0	0.0	0.0
181	57.47	0.0	54.57	-1.0	0.0	0.0	0.0
182	57.34	0.0	55.24	-1.0	0.0	0.0	0.0
183	55.78	0.0	55.69	-1.0	0.0	0.0	0.0
184	56.62	0.0	56.56	-1.0	0.0	0.0	0.0
185	54.97	0.0	56.01	-1.0	0.0	0.0	0.0
186	56.6	0.0	55.16	-1.0	0.0	0.0	0.0
187	55.71	0.0	54.52	-1.0	0.0	0.0	0.0
188	55.84	0.0	54.59	-1.0	0.0	0.0	0.0
189	55.7	0.0	54.68	-1.0	1.0	1.0	1.0
190	55.95	0.0	53.98	-1.0	1.0	1.0	1.0
191	55.66	0.0	54.03	-1.0	1.0	1.0	1.0
192	53.91	0.0	53.49	-1.0	1.0	1.0	1.0
193	53.67	0.0	52.69	-1.0	1.0	1.0	1.0
194	54.01	0.0	53.8	-1.0	1.0	1.0	1.0
195	54.54	0.0	53.64	-1.0	1.0	1.0	1.0
196	54.6	0.0	54.04	-1.0	1.0	1.0	1.0
197	54.78	0.0	53.5	-1.0	1.0	1.0	1.0
198	54.53	0.0	52.9	-1.0	1.0	1.0	1.0
199	54.44	0.0	53.47	-1.0	1.0	1.0	1.0
200	53.3	0.0	53.62	-1.0	1.0	1.0	1.0
201	55.17	0.0	54.33	-1.0	1.0	1.0	1.0
202	54.1	0.0	53.59	-1.0	1.0	1.0	1.0
203	54.6	0.0	54.41	-1.0	1.0	1.0	1.0
204	54.62	0.0	54.04	-1.0	1.0	1.0	1.0
205	53.44	0.0	53.82	-1.0	0.7	0.8	0.7
206	54.22	0.0	53.6	-1.0	0.0	0.0	0.0
207	53.65	0.0	54.38	-1.0	0.0	0.0	0.0
208	54.81	0.0	54.94	-1.0	0.0	0.0	0.0
209	54.32	0.0	53.51	-1.0	0.0	0.0	0.0
210	53.9	0.0	54.21	-1.0	0.0	0.0	0.0
211	53.68	0.0	54.4	-1.0	0.0	0.0	0.0
212	54.13	0.0	54.26	-1.0	0.0	0.0	0.0
213	54.93	0.0	53.86	-1.0	0.0	0.0	0.0
214	53.45	0.0	54.7	-1.0	0.0	0.0	0.0
215	53.9	0.0	53.79	-1.0	0.0	0.0	0.0
216	53.41	0.0	53.87	-1.0	0.0	0.0	0.0
217	53.14	0.0	54.19	-1.0	0.0	0.0	0.0
218	54.09	0.0	53.48	-1.0	0.0	0.0	0.0
219	54.84	0.0	53.13	-1.0	0.0	0.0	0.0
220	55.06	1.09	58.54	-1.0	0.0	0.0	0.0
221	64.24	3.16	58.25	-1.0	-1.0	0.0	-1.0
222	70.68	6.08	57.19	-1.0	-1.0	0.0	-1.0
223	76.85	10.41	55.93	-1.0	-1.0	0.0	-1.0
224	79.85	16.11	58.72	-1.0	-1.0	-0.8	-1.0
225	85.01	21.32	58.19	-1.0	-1.0	-0.7	-1.0
226	88.87	28.94	55.58	-1.0	-1.0	-0.1	-1.0
227	91.34	35.47	50.63	-1.0	-1.0	0.0	-1.0
228	93.94	44.1	43.89	-1.0	-1.0	0.0	-1.0
229	92.52	50.22	33.93	-1.0	-1.0	0.0	0.0
230	91.9	57.88	26.41	-1.0	-1.0	0.0	-1.0
231	93.61	68.64	17.02	-1.0	-1.0	0.0	-1.0
232	92.97	74.97	12.56	-1.0	-0.9	0.0	-1.0
233	92.58	79.98	16.76	-1.0	-0.6	0.0	-0.6
234	91.66	85.57	-0.8	-1.0	-0.8	0.0	-1.0
235	91.42	91.96	-8.57	-1.0	0.1	0.0	-0.3
236	92.15	95.05	-10.77	-1.0	0.5	-0.2	-0.3
237	90.05	99.85	-15.68	-1.0	0.6	-0.3	0.3
238	91.46	99.59	-18.64	-1.0	0.8	-0.5	-0.3
239	93.33	106.32	-11.38	-1.0	1.0	-0.5	0.4
240	91.21	109.68	-16.28	-1.0	0.6	-1.0	-0.6
241	89.65	106.6	-12.77	-1.0	0.8	-1.0	0.2
242	90.16	113.49	-4.27	-1.0	0.6	-1.0	-0.1
243	89.87	116.61	-3.04	-1.0	0.2	-1.0	0.0
244	89.85	112.42	-21.21	-1.0	0.1	-1.0	0.2
245	90.23	115.07	-30.31	-1.0	1.0	-1.0	1.0
246	90.07	112.77	-34.38	-1.0	1.0	-1.0	1.0
247	89.83	118.28	-24.24	-1.0	1.0	-0.6	1.0
248	90.97	117.72	-30.45	-1.0	1.0	-0.8	1.0
249	90.5	105.48	-11.63	-1.0	1.0	-0.4	1.0
250	90.81	97.85	-2.87	-1.0	0.6	-0.3	0.4
251	93.91	113.06	-0.56	-1.0	0.1	0.0	0.3
252	91.43	103.1	-16.9	-1.0	0.0	0.0	0.0
253	92.6	102.17	-5.51	-1.0	0.9	-0.1	0.8
254	90.76	83.94	-9.9	-1.0	0.3	-0.1	0.3
255	91.94	87.99	-1.16	-1.0	0.5	0.0	0.5
256	91.36	98.04	4.63	-1.0	0.0	-0.3	0.1
257	90.7	79.94	14.79	-1.0	-0.3	-0.1	0.0
258	91.33	87.86	8.73	-1.0	-0.8	-0.3	-0.5
259	90.11	82.36	17.2	-1.0	-0.5	-0.5	-0.1
260	90.77	76.4	24.57	-1.0	-0.9	-0.8	-0.4
261	88.17	70.99	31.72	-1.0	-1.0	-0.7	-0.9
262	85.84	66.09	36.17	-1.0	-1.0	0.0	-1.0
263	83.99	58.68	39.97	-1.0	-1.0	0.0	-1.0
264	80.97	49.31	41.42	-1.0	-1.0	0.0	-1.0
265	73.5	40.42	44.95	-1.0	-1.0	0.0	-1.0
266	72.59	34.51	48.32	-1.0	-1.0	0.0	-1.0
267	71.41	27.93	56.13	-1.0	-1.0	0.0	-1.0
268	71.07	20.77	61.86	-1.0	-1.0	0.0	-0.7
269	66.39	14.93	61.46	-1.0	-1.0	0.0	0.0
270	68.41	10.5	49.92	-1.0	-1.0	0.0	0.0
271	55.95	6.73	55.01	-1.0	-0.7	0.0	0.0
272	58.6	3.39	55.24	-1.0	0.0	0.0	0.0
273	59.42	1.35	57.38	-1.0	0.0	0.0	0.0
274	58.37	0.31	57.38	-1.0	0.0	0.0	0.0
275	56.22	0.02	56.31	-1.0	0.0	0.0	0.0
276	55.47	0.0	55.61	-1.0	0.0	0.0	0.0
277	53.92	0.0	55.24	-1.0	0.0	0.0	0.0
278	54.57	0.0	56.07	-1.0	0.0	0.0	0.0
279	55.24	0.0	56.16	-1.0	0.0	0.0	0.0
280	55.69	0.0	55.34	-1.0	0.0	0.0	0.0
281	56.56	0.0	58.61	-1.0	0.0	0.0	0.0
282	56.01	0.0	60.14	-1.0	0.0	0.0	0.0
283	55.16	0.0	58.91	-1.0	0.0	0.0	0.0
284	54.52	0.0	57.89	-1.0	0.0	0.0	0.0
285	54.59	0.0	57.6	-1.0	1.0	1.0	1.0
286	54.68	0.0	58.1	-1.0	1.0	1.0	1.0
287	53.98	0.0	56.95	-1.0	1.0	1.0	1.0
288	54.03	0.0	55.85	-1.0	1.0	1.0	1.0
289	53.49	0.0	55.47	-1.0	1.0	1.0	1.0
290	52.69	0.0	57.25	-1.0	1.0	1.0	1.0
291	53.8	0.0	57.36	-1.0	1.0	1.0	1.0
292	53.64	0.0	56.11	-1.0	1.0	1.0	1.0
293	54.04	0.0	57.37	-1.0	1.0	1.0	1.0
294	53.5	0.0	55.09	-1.0	1.0	1.0	1.0
295	52.9	0.0	55.35	-1.0	1.0	1.0	1.0
296	53.47	0.0	53.91	-1.0	1.0	1.0	1.0
297	53.62	0.0	55.38	-1.0	1.0	1.0	1.0
298	54.33	0.0	54.46	-1.0	1.0	1.0	1.0
299	53.59	0.0	55.31	-1.0	1.0	1.0	1.0
300	54.41	0.0	54.89	-1.0	1.0	1.0	1.0
301	54.04	0.0	54.33	-1.0	0.7	0.7	0.8
302	53.82	0.0	53.55	-1.0	0.0	0.0	0.0
303	53.6	0.0	54.22	-1.0	0.0	0.0	0.0
304	54.38	0.0	52.75	-1.0	0.0	0.0	0.0
305	54.94	0.0	53.86	-1.0	0.0	0.0	0.0
306	53.51	0.0	54.59	-1.0	0.0	0.0	0.0
307	54.21	0.0	54.11	-1.0	0.0	0.0	0.0
308	54.4	0.0	54.07	-1.0	0.0	0.0	0.0
309	54.26	0.0	54.05	-1.0	0.0	0.0	0.0
310	53.86	0.0	55.5	-1.0	0.0	0.0	0.0
311	54.7	0.0	54.62	-1.0	0.0	0.0	0.0
312	53.79	0.0	54.71	-1.0	0.0	0.0	0.0
313	53.87	0.0	54.6	-1.0	0.0	0.0	0.0
314	54.19	0.0	53.69	-1.0	0.0	0.0	0.0
315	53.55	0.07	53.65	-1.0	0.0	0.0	0.0
316	54.41	1.28	59.0	-1.0	0.0	0.0	0.0
317	62.35	3.81	61.08	-1.0	-1.0	0.0	-1.0
318	65.43	7.18	62.51	-1.0	-1.0	0.0	-1.0
319	70.26	13.06	68.16	-1.0	-1.0	0.0	-1.0
320	74.33	18.4	67.04	-1.0	-1.0	-0.8	-1.0
321	82.54	23.82	66.84	-1.0	-1.0	-0.7	-1.0
322	85.62	27.44	63.0	-1.0	-1.0	0.0	-1.0
323	87.25	31.67	57.34	-1.0	-1.0	0.0	-1.0
324	88.3	37.68	50.99	-1.0	-1.0	0.0	-1.0
325	90.49	46.6	46.18	-1.0	-1.0	0.0	-0.3
326	91.61	57.68	39.16	-1.0	-1.0	-0.1	-1.0
327	91.44	65.03	34.97	-1.0	-1.0	0.0	-1.0
328	92.91	75.89	30.95	-1.0	-1.0	0.0	-1.0
329	91.83	79.27	23.17	-1.0	-1.0	0.0	-1.0
330	93.38	76.62	20.24	-1.0	-1.0	0.0	-1.0
331	93.01	93.81	15.72	-1.0	-1.0	0.0	-1.0
332	93.1	101.67	12.5	-1.0	-0.1	0.0	-0.8
333	93.24	104.01	9.15	-1.0	0.0	0.0	0.0
334	92.07	107.75	7.28	-1.0	0.0	-0.2	0.0
335	92.5	111.15	2.43	-1.0	0.0	-0.6	0.0
336	91.83	103.21	3.41	-1.0	0.0	-1.0	0.0
337	90.2	106.48	2.98	-1.0	0.0	-1.0	0.0
338	90.69	103.46	0.21	-1.0	0.0	-1.0	0.0
339	90.95	95.22	-3.62	-1.0	0.0	-1.0	0.0
340	91.43	94.47	-3.37	-1.0	0.2	-1.0	0.2
341	93.23	114.44	11.99	-1.0	0.1	-1.0	0.2
342	92.46	122.77	-9.71	-1.0	-0.3	-1.0	-0.4
343	92.12	126.5	-7.11	-1.0	0.5	-1.0	0.8
344	94.37	118.61	-0.09	-1.0	0.3	-0.8	0.5
345	92.13	122.58	-4.08	-1.0	0.0	-0.2	0.2
346	96.99	108.62	0.94	-1.0	0.2	-0.6	0.3
347	98.48	101.35	4.1	-1.0	-0.1	-0.2	0.3
348	98.61	99.17	1.22	-1.0	-0.2	0.0	0.0
349	94.03	110.93	24.8	-1.0	-0.1	0.0	0.2
350	95.96	101.46	6.0	-1.0	-0.5	0.0	-0.9
351	96.46	106.35	8.67	-1.0	0.0	0.0	0.1
352	95.39	96.55	27.25	-1.0	0.0	0.0	-0.1
353	95.5	90.87	22.44	-1.0	0.0	-0.2	-0.9
354	96.48	81.7	19.41	-1.0	0.0	-0.2	-0.2
355	92.67	83.94	26.34	-1.0	0.0	-0.6	0.0
356	93.08	75.88	27.86	-1.0	0.0	-0.7	0.0
357	93.96	69.39	34.18	-1.0	0.0	-0.9	0.0
358	91.98	60.27	41.65	-1.0	0.0	-0.3	0.0
359	91.1	54.93	42.39	-1.0	0.0	0.0	0.0
360	89.3	49.33	38.19	-1.0	0.0	0.0	0.0
361	80.94	39.52	49.79	-1.0	0.0	0.0	0.0
362	78.39	33.44	56.34	-1.0	0.0	0.0	0.0
363	75.87	27.55	56.23	-1.0	0.0	0.0	0.0
364	76.43	20.3	60.39	-1.0	0.0	0.0	0.0
365	76.15	14.28	61.91	-1.0	0.0	0.0	0.0
366	71.63	10.17	49.32	-1.0	0.0	0.0	0.0
367	56.42	6.5	52.67	-1.0	0.0	0.0	0.0
368	58.5	3.49	53.66	-1.0	0.0	0.0	0.0
369	56.47	1.23	54.17	-1.0	0.0	0.0	0.0
370	57.74	0.36	54.68	-1.0	0.0	0.0	0.0
371	57.39	0.02	55.46	-1.0	0.0	0.0	0.0
372	56.31	0.0	57.17	-1.0	0.0	0.0	0.0
373	55.61	0.0	55.35	-1.0	0.0	0.0	0.0
374	55.24	0.0	55.0	-1.0	0.0	0.0	0.0
375	56.07	0.0	54.39	-1.0	0.0	0.0	0.0
376	56.16	0.0	55.84	-1.0	0.0	0.0	0.0
377	55.34	0.0	55.68	-1.0	0.0	0.0	0.0
378	58.61	0.0	56.71	-1.0	0.0	0.0	0.0
379	60.14	0.0	55.7	-1.0	0.0	0.0	0.0
380	58.91	0.0	52.56	-1.0	0.0	0.0	0.0
381	57.89	0.0	52.86	-1.0	1.0	1.0	1.0
382	57.6	0.0	52.93	-1.0	1.0	1.0	1.0
383	58.1	0.0	53.09	-1.0	1.0	1.0	1.0
384	56.95	0.0	53.03	-1.0	1.0	1.0	1.0
385	55.85	0.0	53.07	-1.0	1.0	1.0	1.0
386	55.47	0.0	54.71	-1.0	1.0	1.0	1.0
387	57.25	0.0	54.26	-1.0	1.0	1.0	1.0
388	57.36	0.0	53.19	-1.0	1.0	1.0	1.0
389	56.11	0.0	54.17	-1.0	1.0	1.0	1.0
390	57.37	0.0	53.74	-1.0	1.0	1.0	1.0
391	55.09	0.0	53.61	-1.0	1.0	1.0	1.0
392	55.35	0.0	54.12	-1.0	1.0	1.0	1.0
393	53.91	0.0	54.14	-1.0	1.0	1.0	1.0
394	55.38	0.0	54.49	-1.0	1.0	1.0	1.0
395	54.46	0.0	54.01	-1.0	1.0	1.0	1.0
396	55.31	0.0	54.1	-1.0	1.0	1.0	1.0
397	54.89	0.0	54.06	-1.0	0.7	0.7	0.7
398	54.33	0.0	52.97	-1.0	0.0	0.0	0.0
399	53.55	0.0	54.57	-1.0	0.0	0.0	0.0
400	54.22	0.0	54.08	-1.0	0.0	0.0	0.0
401	52.75	0.0	53.67	-1.0	0.0	0.0	0.0
402	53.86	0.0	54.11	-1.0	0.0	0.0	0.0
403	54.59	0.0	53.92	-1.0	0.0	0.0	0.0
404	54.11	0.0	54.66	-1.0	0.0	0.0	0.0
405	54.07	0.0	53.99	-1.0	0.0	0.0	0.0
406	54.05	0.0	54.91	-1.0	0.0	0.0	0.0
407	55.5	0.0	53.8	-1.0	0.0	0.0	0.0
408	54.62	0.0	52.64	-1.0	0.0	0.0	0.0
409	54.71	0.0	54.51	-1.0	0.0	0.0	0.0
410	54.6	0.0	54.3	-1.0	0.0	0.0	0.0
411	53.91	0.22	54.67	-1.0	0.0	0.0	0.0
412	55.12	1.47	60.55	-1.0	0.0	0.0	0.0
413	62.13	3.14	61.77	-1.0	-1.0	0.0	-1.0
414	66.26	5.18	62.18	-1.0	-1.0	0.0	-1.0
415	70.78	8.27	69.96	-1.0	-1.0	-0.1	-1.0
416	80.31	12.14	74.71	-1.0	-1.0	-0.5	-1.0
417	82.77	15.73	76.83	-1.0	-1.0	-0.8	-1.0
418	86.27	19.43	76.51	-1.0	-1.0	-0.1	-1.0
419	90.24	27.24	75.72	-1.0	-1.0	0.0	-1.0
420	91.2	33.85	45.04	-1.0	-1.0	0.0	-1.0
421	92.52	41.53	28.66	-1.0	-1.0	-0.2	-0.1
422	93.89	47.71	12.39	-1.0	-1.0	-0.1	-1.0
423	93.11	53.95	41.34	-1.0	-0.6	0.0	-1.0
424	94.28	59.31	22.1	-1.0	-1.0	0.0	-1.0
425	95.0	64.05	17.83	-1.0	-1.0	0.0	-1.0
426	92.09	68.92	-4.9	-1.0	-0.9	0.0	-1.0
427	93.26	73.03	18.02	-1.0	0.3	0.0	-0.2
428	93.14	77.42	35.43	-1.0	-0.9	-0.3	-1.0
429	93.63	81.13	42.78	-1.0	-0.9	-0.3	-0.8
430	93.46	84.3	34.68	-1.0	0.0	-0.6	0.0
431	94.33	87.05	14.99	-1.0	0.0	-0.6	0.0
432	92.05	89.61	-14.93	-1.0	0.0	-1.0	0.0
433	94.45	91.04	-5.67	-1.0	0.8	-1.0	0.2
434	93.47	90.5	-27.84	-1.0	0.3	-1.0	-0.2
